date,AltcoinPsycho__conf,CarpeNoctom__conf,CryptoHayes__conf,DavidDuong__conf,JSeyff__conf,TraderMercury__conf,_Checkmatey___conf,rektcapital__conf,confidence_mean,voters_count,y_pred,confidence_mean_decayed,weights_sum,days_in_window,open,high,low,close,volume,close_future_1d,y_true
2025-10-05,75.0,86.0,100.0,53.0,46.0,69.0,45.0,63.0,67.125,8,LONG,67.125,1.0,1,122397.8,125782.0,122132.3,123496.8,1454815476.0638,124662.3,LONG
2025-10-06,75.0,89.0,75.0,54.0,45.0,69.0,44.0,64.0,64.375,8,LONG,65.75,2.0,2,123496.8,126195.5,123087.3,124662.3,1480019093.5363,121344.8,SHORT
2025-10-07,75.0,91.0,75.0,56.0,64.0,70.0,38.0,66.0,66.875,8,LONG,66.09051724137932,2.9,3,124664.7,125100.0,120605.5,121344.8,1451005579.1665,123303.2,LONG
2025-10-08,75.0,94.0,75.0,57.0,65.0,72.0,36.0,66.0,67.5,8,LONG,66.49157681940702,3.71,4,121344.8,124200.0,121059.5,123303.2,1218348858.0726,121653.6,SHORT
2025-10-09,75.0,96.0,84.0,58.0,67.0,73.0,34.0,66.0,69.125,8,LONG,67.10754111286326,4.439,5,123303.3,123762.3,119641.7,121653.6,1228193753.7731,112738.6,SHORT
2025-10-10,75.0,97.0,84.0,79.0,67.0,81.0,33.0,59.0,71.875,8,LONG,68.08283203469999,5.0951,6,121653.6,122537.6,102329.5,112738.6,3254715514.6404,110630.7,SHORT
2025-10-11,75.0,69.0,85.0,82.0,68.0,80.0,36.0,58.0,69.125,8,LONG,68.33282979426937,5.68559,7,112738.5,113309.9,109553.0,110630.7,2090130797.3682,114973.9,LONG
2025-10-12,75.0,63.0,85.0,85.0,69.0,80.0,37.0,57.0,68.875,8,LONG,68.43277898646475,6.217031,8,110630.7,115783.9,109552.1,114973.9,1602300645.5112,115168.8,LONG
2025-10-13,75.0,60.0,91.0,87.0,69.0,84.0,35.0,47.0,68.5,8,LONG,68.44942389416059,6.6953279000000006,9,114973.8,115975.2,113607.3,115168.8,1177191474.8305,113038.4,SHORT
2025-10-14,75.0,58.0,94.0,89.0,70.0,84.0,32.0,44.0,68.25,8,LONG,68.42214745966082,7.12579511,10,115168.8,115417.4,109842.1,113038.4,1755073741.7156,110745.1,SHORT
2025-10-15,75.0,56.0,95.0,91.0,70.0,84.0,30.0,42.0,67.875,8,LONG,68.34703152585188,7.5132155990000005,11,113038.5,113620.0,110148.0,110745.1,1258217236.3839,108182.3,SHORT
2025-10-16,75.0,47.0,96.0,93.0,71.0,85.0,30.0,36.0,66.625,8,LONG,68.12199228344564,7.861894039100001,12,110745.2,111988.6,107421.3,108182.3,1631744103.6705,106422.4,SHORT
2025-10-17,75.0,44.0,90.0,94.0,71.0,67.0,31.0,35.0,63.375,8,LONG,67.52306023657182,8.175704635190002,13,108182.4,109237.5,103528.9,106422.4,1742391832.3547,107171.9,LONG
2025-10-18,75.0,43.0,89.0,95.0,72.0,64.0,32.0,25.0,61.875,8,LONG,66.8062512882655,8.458134171671002,14,106422.4,107499.9,106308.6,107171.9,459171475.2812,108653.0,LONG
2025-10-19,75.0,34.0,89.0,96.0,72.0,61.0,32.0,33.0,61.5,8,LONG,66.11101544268084,8.458134171671002,14,107171.8,109449.8,106110.3,108653.0,711994774.6206,110542.4,LONG
